Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1110,711,N,GeorgiaSouthern,34,31,65,152.5,157,290,81
1110,712,N,HoustonU,29,34,63,7,7.5,-350,6.5
1110,713,V,Presbyterian,22,27,49,137.5,139.5,7500,71.5
1110,714,H,Duke,46,34,80,36,35,-20000,13.5
1111,517,N,IUPUI,22,38,60,127.5,127.5,255,68
1111,518,N,Northeastern,32,41,73,6,7,-310,1.5
1111,519,V,MichiganTech,24,31,55,NL,NL,1400,NL
1111,520,H,Michigan,42,35,77,22,21.5,-2500,7.5
1111,521,N,Presbyterian,20,37,57,137,135,775,69
1111,522,N,HoustonU,35,41,76,13.5,13,-1100,4
1111,523,V,GeorgiaSouthern,25,29,54,150,146.5,3500,73.5
1111,524,H,Duke,52,45,97,23.5,27.5,-8500,10
1111,525,N,ArkMonticello,37,34,71,NL,NL,NL,NL
1111,526,N,Massachusetts,46,44,90,NL,NL,NL,NL
1111,527,V,"California,PA",25,27,52,NL,NL,NL,NL
1111,528,H,SoIllinois,25,41,66,NL,NL,NL,NL
1112,723,N,MichiganTech,28,23,51,128,128,380,69.5
1112,724,N,IUPUI,33,32,65,9,9.5,-475,4.5
1112,725,V,Northeastern,23,33,56,125.5,127.5,220,67
1112,726,H,Michigan,29,47,76,6,6.5,-260,2
1112,729,V,Massachusetts,39,34,73,136,137.5,178,73
1112,730,H,SoIllinois,28,52,80,4,5,-215,5.5
1112,731,N,WeberState,33,33,66,125,119.5,475,66
1112,732,N,MiamiOhio,34,36,70,12.5,11,-650,6.5
1112,733,V,PrairieViewA&M,19,39,58,132,131,NL,67.5
1112,734,H,UCLA,38,44,82,34.5,37,NL,16.5
1113,507,N,PrairieViewA&M,36,32,68,136,135,600,72
1113,508,N,WeberState,29,49,78,10.5,11.5,-800,9.5
1113,509,V,MiamiOhio,27,32,59,124,124.5,775,66.5
1113,510,H,UCLA,29,35,64,15,16.5,-1200,9.5
1114,725,V,Toledo,27,31,58,134,133.5,1240,71
1114,726,H,Florida,39,41,80,22.5,21,-1800,9
1114,727,V,William&Mary,24,27,51,120.5,125,425,66.5
1114,728,H,PennState,35,30,65,10.5,10,-550,3
1114,729,V,SMU,23,23,46,132.5,131.5,450,70
1114,730,H,SouthFlorida,32,28,60,12,10.5,-600,4
1114,731,V,DetroitU,22,28,50,121,124.5,1640,66
1114,732,H,Purdue,40,42,82,23,22,-2600,8.5
1114,733,V,Brown,33,41,74,143.5,145,625,75.5
1114,734,H,RhodeIsland,29,47,76,12,14,-850,9.5
1114,735,V,Columbia,30,35,65,125.5,128,300,68
1114,736,H,Fordham,35,27,62,10,7.5,-360,3
1114,737,V,CentralMichigan,22,33,55,3.5,2,-135,2
1114,738,H,Princeton,23,30,53,126,124,115,64.5
1114,739,V,Stanford,30,45,75,12.5,11,-700,6.5
1114,740,H,Yale,29,38,67,133,138.5,500,72.5
1114,741,V,MissouriSt,25,35,60,140.5,140,280,72
1114,742,H,Auburn,34,41,75,8,8,-340,2
1114,743,V,ArkansasState,27,25,52,151,150,1900,76.5
1114,744,H,Mississippi,24,41,65,20,21,-3000,12
1114,745,V,IllinoisChicago,28,33,61,141,141,170,71
1114,746,H,Bradley,20,47,67,5.5,4.5,-200,4.5
1114,747,V,LongBeachState,38,27,65,137,139,1640,74
1114,748,H,BYU,31,44,75,19,19.5,-2600,12
1114,749,V,ArkansasLR,31,36,67,3.5,3,-150,64.5
1114,750,H,CalPolySLO,17,23,40,124,124,130,1.5
1114,751,V,SanFrancisco,29,46,75,142,139,165,72
1114,752,H,Hawaii,30,40,70,3.5,4.5,-190,2
1114,753,N,TCU,27,40,67,131.5,135.5,270,71
1114,754,N,WesternMichigan,30,33,63,8,7.5,-330,3.5
1114,755,N,ETennesseeSt,28,37,65,154.5,156.5,550,81.5
1114,756,N,Temple,44,35,79,13,11,-750,2.5
1114,757,V,SIUEdwardsville,31,35,66,NL,NL,NL,NL
1114,758,H,CollCharleston,34,38,72,NL,NL,NL,NL
1114,759,N,Hofstra,24,45,69,142,147,1240,77
1114,760,N,Clemson,39,59,98,18,17.5,-1800,6
1114,761,N,GeorgiaState,30,35,76,2,2,-130,1
1114,762,N,BowlingGreen,33,32,77,122.5,132.5,110,71.5
1114,763,V,ConcordiaSt.Paul,25,26,51,NL,NL,NL,NL
1114,764,H,MinnesotaU,39,37,76,NL,NL,NL,NL
1114,765,N,LoyolaMarymount,24,27,51,135.5,132.5,600,69.5
1114,766,N,WiscMilwaukee,36,39,75,11,12,-800,4
1114,767,V,UCDavis,20,38,58,129,129,525,66
1114,768,H,IowaState,25,36,61,11.5,13.5,-725,7
1114,769,V,AppalachianSt,51,45,101,142,2,-135,82
1114,770,H,NCWilmington,37,59,108,pk,152.5,115,2
1114,771,V,EasternKentucky,32,22,54,125,124,220,67
1114,772,H,FloridaIntl,22,35,57,6,6,-260,5
1114,773,V,Rider,30,27,57,145.5,145.5,550,75
1114,774,H,St.Josephs,30,39,69,11,12,-750,7
1114,775,V,JacksonvilleSt,30,46,76,150,150,NL,79
1114,776,H,SouthCarolina,47,42,89,22,23,NL,8.5
1114,777,V,Marist,26,35,61,132,135,500,70
1114,778,H,Rutgers,27,36,63,9.5,11.5,-700,6.5
1114,779,V,WesternCarolina,25,30,55,136.5,140,NL,74
1114,780,H,Connecticut,40,41,81,26,24.5,NL,10
1114,781,V,NCGreensboro,27,32,59,136,135,1040,72
1114,782,H,NCCharlotte,40,37,77,15,15,-1500,5.5
1114,783,V,MoreheadState,35,19,54,135,134,155,71.5
1114,784,H,ULMonroe,25,31,56,3.5,4,-175,4.5
1114,785,V,SEMissouriSt,31,28,59,149,146.5,NL,76.5
1114,786,H,NewMexico,46,56,102,24.5,27,NL,11.5
1114,787,V,Montana,20,35,55,137,138.5,145,2.5
1114,788,H,ColoradoState,39,46,85,4,3.5,-165,72.5
1114,789,V,E.Washington,35,15,50,121,121,1900,67.5
1114,790,H,Illinois,35,31,66,19.5,21.5,-3000,11.5
1114,791,V,SacramentoState,31,34,65,141.5,135.5,600,73
1114,792,H,FresnoState,37,40,77,13.5,12,-800,6
1114,793,V,NorthernColorado,28,36,64,147,148.5,1240,76.5
1114,794,H,Oregon,30,36,66,17,17.5,-1800,9
1115,517,V,DenverU,20,36,56,115.5,111,1240,57.5
1115,518,H,NorthernIowa,19,42,61,14.5,15.5,-1800,9.5
1115,519,V,Pennsylvania,33,38,71,155.5,154,NL,80
1115,520,H,NorthCarolina,48,38,86,30.5,32.5,NL,15.5
1115,521,V,SanDiego,29,31,60,129,127,600,68.5
1115,522,H,UNLV,34,31,65,11,12,-800,6
1115,523,V,IllinoisState,41,28,69,115,114.5,145,64.5
1115,524,H,WrightState,33,28,61,4,3.5,-165,4
1115,525,V,Buffalo,30,40,70,1,2.5,-135,71.5
1115,526,H,YoungstownState,24,38,62,143.5,143,115,pk
1115,527,V,Northeastern,26,44,70,133,136,425,70.5
1115,528,H,Providence,25,41,66,11.5,10,-550,6.5
1115,529,V,NCState,31,34,65,8,8.5,-380,5
1115,530,H,NewOrleansU,31,28,59,145,143,310,75
1115,531,V,UAB,36,51,87,14,14,-1100,8
1115,532,H,Troy,34,32,66,154.5,157.5,840,82.5
1115,533,V,WesternKentucky,37,27,64,152.5,149,310,77.5
1115,534,H,HoustonU,27,46,73,7,8.5,-380,7.5
1115,535,V,Butler,25,33,58,130,127,260,64.5
1115,536,H,Drake,14,34,48,6.5,6.5,-320,5.5
1115,537,V,LouisianaTech,26,35,61,127,124,425,66.5
1115,538,H,ULLafayette,32,27,59,9,9.5,-550,3.5
1115,539,V,CalRiverside,30,22,52,140,140,600,75
1115,540,H,NewMexicoState,45,34,79,12,13.5,-800,4.5
1115,541,V,CalIrvine,29,26,55,133,132,1440,70
1115,542,H,USC,35,43,78,19,18,-2200,9
1115,543,V,Pacific,20,36,56,148,142,470,72
1115,544,H,California,36,32,68,11,10.5,-640,2.5
1115,545,V,WashingtonU,34,40,74,10.5,11.5,-700,8
1115,546,H,PortlandU,37,43,80,130,139,500,76
1115,547,N,SIUEdwardsville,35,27,62,NL,NL,NL,NL
1115,548,N,ETennesseeSt,40,25,65,NL,NL,NL,NL
1115,549,V,Temple,32,38,70,2,2.5,-140,74
1115,550,H,CollCharleston,24,41,65,143,144,120,0.5
1115,551,N,Hofstra,26,33,71,132.5,135,240,71
1115,552,N,WesternMichigan,31,28,68,7,7,-280,3
1115,553,N,TCU,27,31,58,140,139,1240,71.5
1115,554,N,Clemson,29,41,70,17,17,-1800,9.5
1115,555,N,ConcordiaSt.Paul,30,33,63,NL,NL,NL,NL
1115,556,N,GeorgiaState,30,37,67,NL,NL,NL,NL
1115,557,V,BowlingGreen,22,39,61,133,132,940,70.5
1115,558,H,MinnesotaU,36,32,68,16,15,-1300,5
1115,559,N,UCDavis,51,24,75,135.5,135.5,220,74.5
1115,560,N,WiscMilwaukee,27,54,81,9,6,-260,6.5
1115,561,V,LoyolaMarymount,30,25,55,131,127,1240,69.5
1115,562,H,IowaState,33,34,67,14,17.5,-1800,10
1115,563,V,EasternIllinois,26,33,59,122,119.5,400,66
1115,564,H,BallState,43,29,72,9.5,9.5,-500,2
1115,565,V,PortlandState,33,45,78,5,3,-160,2.5
1115,566,H,Rice,36,38,74,135,135,140,72
1115,567,V,Elon,27,20,47,130.5,129.5,1609,69.5
1115,568,H,WestVirginia,38,54,92,18,18,-2169,7.5
1115,569,V,Canisius,26,20,46,135,131,620,67.5
1115,570,H,Akron,22,34,56,14.5,13,-800,9
1115,571,V,Fairfield,30,33,63,140.5,138,1440,74.5
1115,572,H,MemphisU,45,45,90,19.5,21,-2200,9
1115,573,V,AustinPeay,37,25,62,129,129,230,70
1115,574,H,Evansville,34,36,70,4.5,6.5,-270,5.5
1115,575,V,TennesseeChat,37,38,75,148.5,151,1247,79.5
1115,576,H,Tennessee,60,54,114,18,16.5,-1707,4.5
1115,577,V,Nevada,44,28,72,8,8,-350,0.5
1115,578,H,MontanaState,28,35,63,149,146,290,76.5
1116,713,V,Bradley,25,33,58,150,150,1150,78
1116,714,H,Florida,42,39,81,15.5,17,-1800,6
1116,715,V,Columbia,27,23,50,138.5,139,800,73
1116,716,H,SetonHall,34,37,71,13.5,14,-1250,6.5
1116,717,V,William&Mary,28,27,55,120,122.5,315,65.5
1116,718,H,Ohio,30,44,74,7.5,8.5,-380,5
1116,719,V,NewMexico,37,38,75,138,138,155,73.5
1116,720,H,Creighton,27,55,82,2.5,4,-175,6
1116,721,V,SanJoseState,20,26,46,130,133,850,69.5
1116,722,H,Nebraska,38,25,63,14,13.5,-1300,4.5
1116,723,V,LongBeachState,33,28,61,121,123.5,2000,69.5
1116,724,H,Wisconsin,36,32,68,21.5,22.5,-4000,13
1116,725,V,Rutgers,45,40,85,123,126.5,165,71
1116,726,H,Delaware,39,38,77,4,4.5,-190,4
1116,727,V,RhodeIsland,34,45,79,165,162,3000,82
1116,728,H,Duke,33,49,82,24,25.5,-5000,13.5
1116,729,V,IdahoU,29,33,62,132,135,6000,74
1116,730,H,MichiganState,54,46,100,30,28,-15000,10.5
1116,731,V,OldDominion,36,33,69,130,129.5,295,70
1116,732,H,NCCharlotte,28,40,68,7.5,8,-355,6
1116,733,V,ArkansasLR,32,34,66,4.5,7,-300,3
1116,734,H,Pepperdine,27,38,65,135,129,250,69
1116,735,V,CSFullerton,37,12,49,1.5,150.5,125,79
1116,736,H,Hawaii,37,7,44,153.5,2.5,-145,2
1116,737,N,SIUEdwardsville,38,45,83,NL,NL,NL,NL
1116,738,N,WesternMichigan,35,37,72,NL,NL,NL,NL
1116,739,N,ETennesseeSt,40,35,75,145.5,148,155,80
1116,740,N,Hofstra,44,32,76,2.5,4,-175,1
1116,741,N,Temple,39,33,72,144.5,143.5,260,78
1116,742,N,Clemson,45,31,76,7.5,7.5,-320,2.5
1116,743,V,TCU,30,45,75,133,132,170,2
1116,744,H,CollCharleston,49,37,86,4,4.5,-200,72.5
1116,745,N,ConcordiaSt.Paul,19,42,61,NL,NL,NL,NL
1116,746,N,BowlingGreen,38,44,82,NL,NL,NL,NL
1116,747,V,GeorgiaState,23,29,52,125.5,132,550,68.5
1116,748,H,MinnesotaU,35,25,60,14,12,-800,4
1116,749,N,UCDavis,35,29,64,8,8,-325,1
1116,750,N,LoyolaMarymount,21,34,55,137,129,265,67.5
1116,751,V,WiscMilwaukee,31,30,61,125,125,180,69.5
1116,752,H,IowaState,41,38,79,3.5,5,-220,1.5
1116,753,V,Wofford,26,23,49,129,129,1050,68
1116,754,H,Dayton,27,25,52,16,16,-1600,9
1116,755,V,SEMissouriSt,16,52,68,158,157,2250,75.5
1116,756,H,KansasState,39,49,88,20.5,24.5,-4500,10
1116,757,V,TennesseeState,32,38,70,153,152,250,79
1116,758,H,LoyolaMaryland,33,40,73,8,6.5,-300,4
1116,759,V,TheCitadel,28,31,59,125,124,2100,69
1116,760,H,VaCommonwealth,42,40,82,23,23,-4200,10
1116,761,V,MoreheadState,24,24,48,140,139,1280,71.5
1116,762,H,Vanderbilt,31,43,74,17.5,17,-2100,9
1116,763,V,TowsonState,31,31,62,146.5,145.5,210,78
1116,764,H,Niagara,42,37,79,7,5.5,-250,1
1117,507,V,Fordham,38,30,68,136.5,139,2000,75.5
1117,508,H,Villanova,56,51,107,21,22,-4000,7.5
1117,509,V,Brown,20,32,52,129,131,700,69
1117,510,H,GeorgeMason,39,50,89,12.5,13,-1100,4
1117,511,V,Troy,55,40,95,159,162.5,280,88
1117,512,H,NCWilmington,47,60,107,10,7.5,-340,6
1117,513,V,Toledo,19,46,65,128,127.5,1400,66
1117,514,H,Xavier,36,45,81,20,17.5,-2500,6
1117,515,V,MiamiOhio,30,23,53,128,126.5,775,68
1117,516,H,Pittsburgh,35,47,82,13.5,13.5,-1200,7
1117,517,V,MissouriSt,34,26,60,1,129.5,110,69
1117,518,H,CentralMichigan,24,33,57,136.5,2,-130,4
1117,519,V,ULMonroe,24,25,49,136,131.5,1500,70
1117,520,H,MississippiSt,35,43,78,18,20,-3000,9
1117,521,V,NorthTexas,44,44,88,148.5,153.5,1000,85
1117,522,H,OklahomaState,51,49,100,11,15,-1500,7
1117,523,V,UtahState,30,31,61,136,132,125,70
1117,524,H,CalSantaBarb,27,32,59,4,2.5,-145,2
1117,525,V,Massachusetts,25,33,58,154.5,157.5,1050,81
1117,526,H,MemphisU,33,47,80,15,15,-1600,7.5
1117,527,V,FresnoState,42,43,85,137,136,1750,79.5
1117,528,H,SaintMarysCA,55,44,99,21,20.5,-3500,8.5
1117,529,V,LoyolaMaryland,31,26,57,145.5,145.5,1200,78
1117,530,H,BostonCollege,42,48,90,14,16,-1900,6.5
1117,531,N,Cornell,41,34,75,133.5,133,160,73.5
1117,532,N,St.Johns,42,44,86,4.5,4.5,-185,3
1117,533,V,EasternMichigan,22,36,58,130,129.5,2350,68.5
1117,534,H,Purdue,42,45,87,20.5,23.5,-4700,9
1117,535,N,LoyolaChicago,29,45,74,127,127.5,200,68.5
1117,536,N,Georgia,29,24,53,7,5,-240,3
1117,537,N,JamesMadison,30,34,64,143,146,1250,78
1117,538,N,Davidson,50,49,99,16.5,15.5,-2000,4
1117,539,V,MissValleySt,19,34,53,121,127,6000,66.5
